Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0402,6,10nF,
"C10, C21, C26, C27, C28, C30, C7, C9",0402,8,100nF,
C11,0402,1,47nF,
"C12, C13",0402,2,1uF,
C14,0603,1,2.2uF,
"C15, C16, C17, C22, C23, C25, C32, C34",0402,8,1nF,
"C18, C19, C20",C_Elec_6.3x7.7,3,100uF,
"C24, C33",0402,2,8.2pF,
C29,0603,1,1uF,
C31,0402,1,10uF,
C8,0603,1,10uF,
D1,D_SOD-123,1,D_Schottky,
D2,D_SMA,1,SMBJ30A,
"FB1, FB2",0603,2,FerriteBead,
"J1, J4, J5, J6",SolderWire-4sqmm_1x01_D3mm_OD6mm,4,+,
"J10, J3, J8, J9",SolderWirePad_1x01_SMD_2x4mm,4,+,
J2,SolderWire-4sqmm_1x01_D3mm_OD6mm,1,-,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
L1,L_APV_ANR6020,1,22uH,
"Q1, Q2, Q3, Q4, Q5, Q6",PQFN-8-EP_6x5mm_P1.27mm_Generic,6,AGM60P30AP,
Q7,PQFN-8-EP_6x5mm_P1.27mm_Generic,1,AGM60P30A,
"R1, R2, R5, R6, R8, R9",0603,6,10,
R10,0402,1,100K,
R11,0402,1,3.3K,
"R12, R20",0402,2,1K,
R13,0603,1,1K,
"R14, R15, R28",0402,3,10k,
"R16, R18, R21, R22, R24, R26, R27",0402,7,162K,
"R17, R19, R23, R25",0402,4,20K,
"R3, R4, R7",1206,3,1M,
SW3,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.1x5.1mm_ThermalVias,1,DRV8323RSRGZR,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,
