Designator,Mid X,Mid Y,Rotation,Layer
C1,176.0,-92.02,270.0,top
C10,162.1,-96.855,90.0,bottom
C11,159.72,-97.1,0.0,bottom
C12,161.15,-96.855,90.0,bottom
C13,158.0,-106.15,0.0,bottom
C14,155.1,-98.35,0.0,bottom
C15,178.92,-88.2,180.0,top
C16,178.9,-96.1,180.0,top
C17,178.92,-104.4,180.0,top
C18,166.15,-89.875,270.0,top
C19,158.15,-89.8,270.0,top
C2,180.3,-88.7,90.0,top
C20,150.0,-89.8,270.0,top
C21,158.2,-104.7,0.0,top
C22,178.885,-99.68,90.0,top
C23,178.88,-91.8,90.0,top
C24,146.9,-95.8,0.0,top
C25,178.8,-108.02,90.0,top
C26,158.82,-96.7,0.0,top
C27,150.4,-95.7,90.0,top
C28,149.4,-96.2,90.0,top
C29,158.8,-95.5,0.0,top
C3,176.0,-99.9,270.0,top
C30,156.2,-106.5,270.0,top
C31,155.22,-106.5,270.0,top
C32,144.2,-93.5,90.0,top
C33,146.9,-101.0,180.0,top
C34,147.1,-105.2,180.0,top
C4,180.3,-96.6,90.0,top
C5,176.0,-108.2,270.0,top
C6,180.3,-104.9,90.0,top
C7,157.4,-100.95,90.0,bottom
C8,144.0,-101.9,0.0,bottom
C9,156.52,-99.55,0.0,bottom
D1,153.25,-101.7,270.0,bottom
D2,148.6,-88.1,0.0,bottom
FB1,165.3,-107.7775,270.0,bottom
FB2,158.2,-106.3,0.0,top
J1,142.0,-89.0,0.0,top
J10,167.0,-88.0,0.0,bottom
J2,142.0,-106.0,0.0,top
J3,148.0,-107.0,180.0,bottom
J4,186.0,-90.0,0.0,top
J5,186.0,-98.05,0.0,top
J6,186.0,-106.1,0.0,top
J7,140.0,-97.5,0.0,top
J8,151.55,-107.0,180.0,bottom
J9,155.1,-107.0,180.0,bottom
JP1,143.05,-98.15,270.0,bottom
L1,148.8,-101.3,270.0,bottom
Q1,172.975,-89.8,90.0,bottom
Q2,178.975,-89.7,270.0,bottom
Q3,173.0,-97.65,90.0,bottom
Q4,179.0,-97.55,270.0,bottom
Q5,173.0,-105.65,90.0,bottom
Q6,179.0,-105.85,270.0,bottom
Q7,148.8,-92.8,0.0,bottom
R1,176.0,-89.575,270.0,top
R10,157.05,-98.15,270.0,bottom
R11,157.8,-96.69,0.0,bottom
R12,157.8,-95.7,180.0,bottom
R13,150.9,-96.5,0.0,bottom
R14,164.1,-107.41,270.0,bottom
R15,163.1,-107.4,270.0,bottom
R16,181.3,-99.2,180.0,top
R17,179.885,-99.68,90.0,top
R18,181.3,-91.3,180.0,top
R19,179.895,-91.8,90.0,top
R2,181.5,-89.3,90.0,top
R20,143.4,-100.3,180.0,bottom
R21,147.1,-102.19,0.0,top
R22,181.21,-107.5,180.0,top
R23,179.8,-108.0,90.0,top
R24,146.2,-93.5,270.0,top
R25,145.2,-93.5,90.0,top
R26,147.1,-103.2,0.0,top
R27,147.1,-104.19,0.0,top
R28,163.6,-97.4,90.0,top
R3,178.4,-86.6,180.0,top
R4,178.4,-94.5,180.0,top
R5,176.0,-97.5,270.0,top
R6,181.5,-97.2,90.0,top
R7,178.4375,-102.8,180.0,top
R8,176.0,-105.8,270.0,top
R9,181.5,-105.5,90.0,top
SW3,166.9,-97.4,180.0,top
U1,162.05,-101.9,0.0,bottom
U2,154.1,-100.4,270.0,top
Y1,146.9,-98.4,270.0,top
